p,q,dim,C2,Z,Z_normalized,Z_dimensionless,C_matter,S_holonomy,covering_radius_mean,covering_radius_std,kissing_number_mean,packing_efficiency_mean,packing_efficiency_std,n_shells
0,1,3,1.3333333333333333,0.015051303866778021,0.011288477900083516,0.00119774470518794,199.31828010075245,3.0,3.141592653589793,0.0,0.0,0.3535533905820198,0.3535533905820198,2
0,2,6,3.3333333333333335,0.01974378827501599,0.005923136482504797,0.0015711607496643003,353.1306078591917,6.972135954999579,3.141592653589793,0.0,0.3333333333333333,0.42815235011176256,0.30734889434300644,3
0,3,10,6.0,0.019876572265830787,0.003312762044305131,0.001581727363915122,582.7358272009467,11.582790781248299,2.526112944919406,0.6154797086703871,0.75,0.6123296101126336,0.40355151335082917,4
0,4,15,9.333333333333334,0.019723436938740898,0.0021132253862936675,0.001569541241780947,891.434876224044,17.58215956619923,2.0980427554560235,0.8570359199639703,0.8666666666666666,0.6894427190971445,0.40579395890203857,5
0,5,21,13.333333333333334,0.016018838966476278,0.0012014129224857209,0.0012747387020538839,1301.1135327647391,20.842328158461413,1.7827079921352549,0.9662101514836322,0.9722222222222222,0.734708048408478,0.39325377054324806,6
0,6,28,18.0,0.015954012364656028,0.0008863340202586682,0.0012695799649921123,1817.2867111691767,28.99301466011813,1.5459266520470134,1.014260678929739,1.061904761904762,0.7682806389995995,0.38005096669800525,7
0,7,36,23.333333333333332,0.0151143764242619,0.0006477589896112244,0.0012027638598364437,2458.931720001579,37.16521961766163,1.3630060400793682,1.0315462790057748,1.1375,0.7941941738227525,0.36726096207601605,8
0,8,45,29.333333333333332,0.01414588102976421,0.00048224594419650713,0.0011256934451384223,3234.715125848502,45.75789533543167,1.2179706222445423,1.0324954433887479,1.2015873015873015,0.8148148148136358,0.3552467795062438,9
1,0,3,1.3333333333333333,0.015051303866778021,0.011288477900083516,0.00119774470518794,199.31828010075245,3.0,3.141592653589793,0.0,0.0,0.3535533905820198,0.3535533905820198,2
1,1,8,3.0,0.958255969892403,0.319418656630801,0.0762555871778472,364.22361514287854,349.0194535864564,3.141592653589793,0.0,1.111111111111111,0.3591167563851109,0.25588981948389944,3
1,2,15,5.333333333333333,0.3592316857799466,0.06735594108373999,0.028586749253556514,588.741535963731,211.49461445292616,2.2183730905842123,0.533021063222401,2.25,0.5788843195523021,0.3398465760917643,4
1,3,24,8.333333333333334,0.31049227077206676,0.03725907249264801,0.02470818984260082,893.9955200572068,277.5786990826169,1.7296997860058003,0.7320044457068666,2.4466666666666668,0.7414213562155739,0.38767818162654166,5
1,4,35,12.0,0.18177891084699277,0.015148242570582731,0.014465506105579926,1303.6252513906413,236.97157835042793,1.4248810316976634,0.7984171347301322,2.611111111111111,0.787574967732643,0.3662038236659438,6
1,5,48,16.333333333333332,0.16711694296605753,0.010231649569350462,0.013298743773727202,1827.1830268084716,305.3532416796997,1.2152038737187643,0.8170866896808788,2.7455782312925168,0.8195345922013297,0.34668436738420627,7
1,6,63,21.333333333333332,0.1211500685550158,0.005678909463516366,0.00964081613322638,2481.9820020024163,300.6922896949081,1.0614306107785527,0.8154602244516763,2.6625,0.8430531197376233,0.3294427143585001,8
1,7,80,27.0,0.09975416515441073,0.0036945987094226195,0.007938184239164885,3281.4691018456283,327.3402107346046,0.9434577775494688,0.8046010934453843,2.668871252204586,0.8611111111031533,0.31426968053016796,9
2,0,6,3.3333333333333335,0.01974378827501599,0.005923136482504797,0.0015711607496643003,353.1306078591917,6.972135954999579,3.141592653589793,0.0,0.3333333333333333,0.42815235011176256,0.30734889434300644,3
2,1,15,5.333333333333333,0.5135609002567574,0.09629266879814201,0.04086787792729338,588.741535963731,302.3546332280798,2.2183730905842123,0.5330210632224008,2.25,0.5788843195523021,0.3398465760917642,4
2,2,27,8.0,0.5535987838894781,0.06919984798618477,0.04405399147283618,892.587592802737,494.1354058904319,1.6755160819145563,0.7695298980971185,2.368888888888889,0.71221877151344,0.3763420124847685,5
2,3,42,11.333333333333334,0.34610980230768335,0.030539100203619118,0.027542542944913245,1301.6791148773787,450.52390111824974,1.4662700303603833,0.7804704962769008,1.7592592592592593,0.7378222129357185,0.3552059264844573,6
2,4,60,15.333333333333334,0.30355851407831735,0.019797294396412,0.024156419016597454,1824.7122339622408,553.9069343621048,1.2534942590758378,0.7984594224220706,1.915419501133787,0.7870969656515019,0.3425322527997117,7
2,5,81,20.0,0.23149419259299103,0.011574709629649552,0.018421722524120873,2486.4352073344435,575.5953107566733,1.0927035374444316,0.8002576409152187,1.8208333333333333,0.8231227687910352,0.3303049982950051,8
2,6,105,25.333333333333332,0.2005081103323359,0.007914793828907996,0.015955928444703196,3300.0779221174416,661.6923881132298,0.9610637890384088,0.7967650801787584,1.915873015873016,0.8505170745055523,0.3194018336532012,9
3,0,10,6.0,0.019876572265830787,0.003312762044305131,0.001581727363915122,582.7358272009467,11.582790781248299,2.5261129449194057,0.6154797086703874,0.75,0.6123296101126339,0.4035515133508293,4
3,1,24,8.333333333333334,0.3104922707720668,0.03725907249264802,0.024708189842600828,893.9955200572068,277.57869908261694,1.7296997860058005,0.7320044457068667,2.4466666666666668,0.7414213562155739,0.38767818162654166,5
3,2,42,11.333333333333334,0.32491129619106973,0.028668643781564977,0.02585561942760183,1301.679114877323,422.93024843963536,1.4662700303603833,0.7804704962769008,1.7592592592592593,0.7378222129357187,0.3552059264844573,6
3,3,64,15.0,0.39278850806859855,0.02618590053790657,0.03125711632440414,1823.0219138053844,716.0620576999783,1.1769360817710839,0.8258464333365051,2.6979591836734693,0.8054339162804443,0.35173553115795003,7
3,4,90,19.333333333333332,0.3010061003889637,0.01556928105460157,0.023953304388859425,2489.5578663763113,749.3721050506023,1.0864648320740609,0.8068134121674975,1.8427083333333334,0.789897048835918,0.3319104987958404,8
3,5,120,24.333333333333332,0.26112182019683366,0.010731033706719193,0.020779414216739595,3310.7811786143084,864.5172076331864,0.9530866201240666,0.8026326309515385,1.8801587301587301,0.8180413817295219,0.31881284649695896,9
4,0,15,9.333333333333334,0.019723436938740898,0.0021132253862936675,0.001569541241780947,891.434876224044,17.58215956619923,2.0980427554560235,0.8570359199639704,0.8666666666666666,0.6894427190971445,0.40579395890203857,5
4,1,35,12.0,0.2827197260271602,0.02355997716893002,0.022498120953404463,1303.6252513906413,368.56057391524996,1.4248810316976634,0.798417134730132,2.611111111111111,0.787574967732643,0.3662038236659438,6
4,2,60,15.333333333333334,0.30450692283223474,0.0198591471412327,0.024231890987226244,1824.8917535438661,555.6921723735636,1.2534942590758376,0.7984594224220709,1.915419501133787,0.7870969656515018,0.3425322527997118,7
4,3,90,19.333333333333332,0.30299088705098937,0.015671942433671864,0.024111248692981552,2489.520022965362,754.3018800894744,1.086464832074061,0.8068134121674972,1.8427083333333334,0.789897048835918,0.3319104987958404,8
4,4,125,24.0,0.3110972134649404,0.012962383894372516,0.024756329652529902,3314.6922307160535,1031.1915164696516,0.8950808895060105,0.8134657739068387,1.8719223985890652,0.8444444444380782,0.32356043952838814,9
5,0,21,13.333333333333334,0.016018838966476278,0.0012014129224857209,0.0012747387020538839,1301.1135327647391,20.842328158461413,1.7827079921352549,0.9662101514836322,0.9722222222222222,0.734708048408478,0.39325377054324806,6
5,1,48,16.333333333333332,0.16368134010635133,0.010021306537123551,0.013025347184915756,1826.5098283885704,298.965576428063,1.2152038737187643,0.8170866896808787,2.7863945578231295,0.8195345922013297,0.34668436738420627,7
5,2,81,20.0,0.2366573475971166,0.01183286737985583,0.01883259334454899,2486.4352073330683,588.4331611395306,1.0927035374444314,0.8002576409152186,1.7895833333333333,0.8231227687910352,0.33030499829500515,8
5,3,120,24.333333333333332,0.26155401201915596,0.010748795014485862,0.020813806949182837,3310.764930497585,865.9438504239653,0.9530866201240666,0.8026326309515385,2.00515873015873,0.818041381729522,0.31881284649695896,9
6,0,28,18.0,0.015954012364656028,0.0008863340202586682,0.0012695799649921123,1817.2867111691767,28.99301466011813,1.5459266520470132,1.014260678929739,1.061904761904762,0.7682806389995995,0.38005096669800525,7
6,1,63,21.333333333333332,0.11924833538428381,0.005589765721138304,0.009489481015944469,2481.9820020024163,295.9722221925403,1.0614306107785527,0.8154602244516762,2.6625,0.8430531197376233,0.3294427143585001,8
6,2,105,25.333333333333332,0.1985915246815957,0.00783913913216825,0.015803411404616045,3299.993233779444,655.3506877352092,0.9610637890384088,0.7967650801787584,1.807231040564374,0.8505170745055521,0.3194018336532012,9
7,0,36,23.333333333333332,0.0151143764242619,0.0006477589896112244,0.0012027638598364437,2458.931720001579,37.16521961766163,1.3630060400793682,1.0315462790057746,1.1375,0.7941941738227525,0.36726096207601605,8
7,1,80,27.0,0.10223229681215996,0.003786381363413332,0.008135387690646536,3281.469101843409,335.4721231995874,0.9434577775494686,0.8046010934453843,2.6966490299823636,0.8611111111031534,0.31426968053016796,9
8,0,45,29.333333333333332,0.01414588102976421,0.00048224594419650713,0.0011256934451384223,3234.715125848502,45.75789533543167,1.2179706222445423,1.0324954433887479,1.2015873015873015,0.8148148148136358,0.3552467795062438,9
